[E1_floor14] k=14: 6 разбиений × 10 стартов = 60 задач, бюджет 60 мин
  [  177.7s]          14#s0: d=0.901027 (fev 260, 152.3s) | лучший: 14#s0 d=0.901027
  [  180.3s]          14#s2: d=0.899876 (fev 260, 154.5s) | лучший: 14#s0 d=0.901027
  [  182.3s]          14#s4: d=0.876045 (fev 260, 154.0s) | лучший: 14#s0 d=0.901027
  [  184.8s]          14#s6: d=0.900751 (fev 260, 155.9s) | лучший: 14#s0 d=0.901027
  [  185.1s]          14#s1: d=0.897880 (fev 260, 158.5s) | лучший: 14#s0 d=0.901027
  [  185.1s]          14#s3: d=0.892874 (fev 260, 158.2s) | лучший: 14#s0 d=0.901027
  [  194.0s]          14#s5: d=0.900829 (fev 260, 166.5s) | лучший: 14#s0 d=0.901027
  [  194.5s]          14#s7: d=0.897299 (fev 260, 164.5s) | лучший: 14#s0 d=0.901027
  [  294.6s]         7+7#s0: d=0.772615 (fev 260, 112.4s) | лучший: 14#s0 d=0.901027
  [  323.8s]          14#s9: d=0.897288 (fev 260, 143.5s) | лучший: 14#s0 d=0.901027
  [  324.8s]         7+7#s3: d=0.829253 (fev 260, 139.7s) | лучший: 14#s0 d=0.901027
  [  334.5s]         7+7#s1: d=0.816672 (fev 260, 149.7s) | лучший: 14#s0 d=0.901027
  [  335.0s]          14#s8: d=0.854390 (fev 260, 157.2s) | лучший: 14#s0 d=0.901027
  [  344.7s]         7+7#s4: d=0.823747 (fev 260, 150.3s) | лучший: 14#s0 d=0.901027
  [  407.7s]         7+7#s2: d=0.824117 (fev 260, 222.3s) | лучший: 14#s0 d=0.901027
  [  424.0s]         7+7#s6: d=0.762064 (fev 260, 129.5s) | лучший: 14#s0 d=0.901027
  [  432.1s]         7+7#s5: d=0.651920 (fev 260, 237.6s) | лучший: 14#s0 d=0.901027
  [  491.4s]         6+8#s0: d=0.798425 (fev 260, 156.2s) | лучший: 14#s0 d=0.901027
  [  494.0s]         7+7#s9: d=0.815956 (fev 260, 159.5s) | лучший: 14#s0 d=0.901027
  [  514.2s]         7+7#s7: d=0.762768 (fev 260, 190.3s) | лучший: 14#s0 d=0.901027
  [  521.0s]         7+7#s8: d=0.732461 (fev 260, 196.2s) | лучший: 14#s0 d=0.901027
  [  587.7s]         6+8#s1: d=0.781742 (fev 260, 243.5s) | лучший: 14#s0 d=0.901027
  [  646.6s]         6+8#s6: d=0.795940 (fev 260, 152.5s) | лучший: 14#s0 d=0.901027
  [  665.9s]         6+8#s3: d=0.826251 (fev 260, 241.8s) | лучший: 14#s0 d=0.901027
  [  678.8s]         6+8#s4: d=0.796057 (fev 260, 246.4s) | лучший: 14#s0 d=0.901027
  [  703.7s]         6+8#s2: d=0.807150 (fev 260, 296.3s) | лучший: 14#s0 d=0.901027
  [  722.9s]         6+8#s7: d=0.819685 (fev 260, 208.7s) | лучший: 14#s0 d=0.901027
  [  775.3s]         6+8#s8: d=0.789232 (fev 260, 254.3s) | лучший: 14#s0 d=0.901027
  [  775.6s]         5+9#s0: d=0.626691 (fev 260, 129.1s) | лучший: 14#s0 d=0.901027
  [  775.6s]         6+8#s5: d=0.683077 (fev 260, 284.7s) | лучший: 14#s0 d=0.901027
