[E2_k15] k=15: 6 разбиений × 10 стартов = 60 задач, бюджет 60 мин
  [    8.7s]         7+8#s6: d=0.762064 (fev 260, 7.6s) | лучший: 7+8#s6 d=0.762064
  [    8.8s]         7+8#s0: d=0.823557 (fev 260, 7.9s) | лучший: 7+8#s0 d=0.823557
  [   11.7s]         7+8#s4: d=0.823747 (fev 260, 10.6s) | лучший: 7+8#s4 d=0.823747
  [   11.9s]         7+8#s1: d=0.816672 (fev 260, 10.8s) | лучший: 7+8#s4 d=0.823747
  [   11.9s]         7+8#s3: d=0.829253 (fev 260, 10.8s) | лучший: 7+8#s3 d=0.829253
  [   12.5s]         7+8#s7: d=0.736319 (fev 260, 11.3s) | лучший: 7+8#s3 d=0.829253
  [   14.5s]         7+8#s2: d=0.824117 (fev 260, 13.5s) | лучший: 7+8#s3 d=0.829253
  [   15.3s]         7+8#s5: d=0.651920 (fev 260, 14.2s) | лучший: 7+8#s3 d=0.829253
  [   16.5s]         7+8#s8: d=0.751352 (fev 260, 7.8s) | лучший: 7+8#s3 d=0.829253
  [   17.3s]         7+8#s9: d=0.848249 (fev 260, 8.5s) | лучший: 7+8#s9 d=0.848249
  [   18.2s]         6+9#s0: d=0.825328 (fev 260, 6.4s) | лучший: 7+8#s9 d=0.848249
  [   21.7s]         6+9#s1: d=0.781742 (fev 260, 9.8s) | лучший: 7+8#s9 d=0.848249
  [   22.0s]         6+9#s6: d=0.795940 (fev 260, 5.5s) | лучший: 7+8#s9 d=0.848249
  [   22.1s]         6+9#s3: d=0.826251 (fev 260, 9.6s) | лучший: 7+8#s9 d=0.848249
  [   23.2s]         6+9#s2: d=0.807150 (fev 260, 11.3s) | лучший: 7+8#s9 d=0.848249
  [   23.4s]         6+9#s7: d=0.825567 (fev 260, 6.0s) | лучший: 7+8#s9 d=0.848249
  [   24.1s]         6+9#s4: d=0.796057 (fev 260, 9.6s) | лучший: 7+8#s9 d=0.848249
  [   24.4s]         6+9#s8: d=0.836519 (fev 260, 6.3s) | лучший: 7+8#s9 d=0.848249
  [   27.1s]         6+9#s5: d=0.683077 (fev 260, 11.8s) | лучший: 7+8#s9 d=0.848249
  [   27.8s]         6+9#s9: d=0.783759 (fev 260, 6.1s) | лучший: 7+8#s9 d=0.848249
  [   28.2s]        5+10#s0: d=0.634528 (fev 260, 6.3s) | лучший: 7+8#s9 d=0.848249
  [   30.9s]        5+10#s1: d=0.701973 (fev 260, 8.9s) | лучший: 7+8#s9 d=0.848249
  [   31.8s]        5+10#s2: d=0.704722 (fev 260, 8.5s) | лучший: 7+8#s9 d=0.848249
  [   32.4s]        5+10#s3: d=0.730138 (fev 260, 9.0s) | лучший: 7+8#s9 d=0.848249
  [   33.0s]        5+10#s4: d=0.703626 (fev 260, 8.9s) | лучший: 7+8#s9 d=0.848249
  [   33.5s]        5+10#s6: d=0.602627 (fev 260, 6.4s) | лучший: 7+8#s9 d=0.848249
  [   34.4s]        5+10#s5: d=0.527562 (fev 260, 10.0s) | лучший: 7+8#s9 d=0.848249
  [   34.6s]        5+10#s8: d=0.650266 (fev 260, 6.3s) | лучший: 7+8#s9 d=0.848249
  [   36.0s]        5+10#s7: d=0.668667 (fev 260, 8.2s) | лучший: 7+8#s9 d=0.848249
  [   38.0s]       5+5+5#s1: d=0.659655 (fev 260, 5.6s) | лучший: 7+8#s9 d=0.848249
  [   39.0s]        5+10#s9: d=0.697190 (fev 260, 8.0s) | лучший: 7+8#s9 d=0.848249
