===== m2_t1.0_rig =====
E6* base: 56 admissible glues at m=2, index 686
t=1.0 index=686: deep-hole start d=0.5976143 diam=2.645751 (rigorous 2.645751, threshold sqrt7=2.645751)
  eval 6: d=0.5998424 diam=2.645751 glue=(1, 6, 4) [1s]
  eval 10: d=0.6033611 diam=2.645751 glue=(3, 5, 0) [2s]
  eval 24: d=0.6204008 diam=2.645751 glue=(1, 2, 2) [4s]
    [heartbeat] 48 evaluations, best 0.6204008, 8s
  eval 65: d=0.6432688 diam=2.645751 glue=(4, 5, 5) [10s]
    [heartbeat] 96 evaluations, best 0.6432688, 15s
    [heartbeat] 144 evaluations, best 0.6432688, 22s
    [heartbeat] 192 evaluations, best 0.6432688, 29s
    [heartbeat] 240 evaluations, best 0.6432688, 36s
    [heartbeat] 288 evaluations, best 0.6432688, 43s
    [heartbeat] 336 evaluations, best 0.6432688, 50s
    [heartbeat] 384 evaluations, best 0.6432688, 57s
    [heartbeat] 432 evaluations, best 0.6432688, 64s
    [heartbeat] 480 evaluations, best 0.6432688, 72s
    [heartbeat] 528 evaluations, best 0.6432688, 79s
    [heartbeat] 576 evaluations, best 0.6432688, 86s
    [heartbeat] 624 evaluations, best 0.6432688, 93s
    [heartbeat] 672 evaluations, best 0.6432688, 101s
    [heartbeat] 720 evaluations, best 0.6432688, 108s
    [heartbeat] 768 evaluations, best 0.6432688, 115s
    [heartbeat] 816 evaluations, best 0.6432688, 123s
    [heartbeat] 864 evaluations, best 0.6432688, 130s
    [heartbeat] 912 evaluations, best 0.6432688, 138s
    [heartbeat] 960 evaluations, best 0.6432688, 145s
    [heartbeat] 1008 evaluations, best 0.6432688, 153s
  eval 1056: d=0.6469798 diam=2.645751 glue=(3, 5, 5) [160s]
    [heartbeat] 1056 evaluations, best 0.6469798, 160s
    [heartbeat] 1104 evaluations, best 0.6469798, 168s
  eval 1110: d=0.6493548 diam=2.645751 glue=(3, 5, 5) [169s]
    [heartbeat] 1152 evaluations, best 0.6493548, 175s
    [heartbeat] 1200 evaluations, best 0.6493548, 182s
  eval 1246: d=0.6495475 diam=2.645751 glue=(3, 5, 5) [189s]
    [heartbeat] 1248 evaluations, best 0.6495475, 189s
  eval 1267: d=0.6503512 diam=2.645751 glue=(3, 5, 5) [192s]
  eval 1274: d=0.6504125 diam=2.645751 glue=(3, 5, 5) [193s]
  eval 1279: d=0.6521330 diam=2.645751 glue=(3, 5, 5) [194s]
    [heartbeat] 1296 evaluations, best 0.6521330, 197s
  eval 1302: d=0.6521464 diam=2.645751 glue=(3, 5, 5) [197s]
  eval 1327: d=0.6521927 diam=2.645751 glue=(3, 5, 5) [201s]
  eval 1328: d=0.6525567 diam=2.645751 glue=(3, 5, 5) [201s]
    [heartbeat] 1344 evaluations, best 0.6525567, 204s
  eval 1349: d=0.6535328 diam=2.645751 glue=(3, 5, 5) [205s]
  eval 1354: d=0.6537463 diam=2.645751 glue=(3, 5, 5) [206s]
  eval 1374: d=0.6542594 diam=2.645751 glue=(3, 5, 5) [209s]
    [heartbeat] 1392 evaluations, best 0.6542594, 212s
  eval 1405: d=0.6547187 diam=2.645751 glue=(3, 5, 5) [214s]
  eval 1439: d=0.6547921 diam=2.645751 glue=(3, 5, 5) [219s]
    [heartbeat] 1440 evaluations, best 0.6547921, 219s
  eval 1475: d=0.6548508 diam=2.645751 glue=(3, 5, 5) [225s]
    [heartbeat] 1488 evaluations, best 0.6548508, 228s
  eval 1498: d=0.6549416 diam=2.645751 glue=(3, 5, 5) [229s]
    [heartbeat] 1536 evaluations, best 0.6549416, 235s
  eval 1547: d=0.6550648 diam=2.645751 glue=(3, 5, 5) [237s]
  eval 1551: d=0.6551106 diam=2.645751 glue=(3, 5, 5) [237s]
  eval 1558: d=0.6551296 diam=2.645751 glue=(3, 5, 5) [238s]
  eval 1573: d=0.6551334 diam=2.645751 glue=(3, 5, 5) [241s]
  eval 1578: d=0.6552962 diam=2.645751 glue=(3, 5, 5) [241s]
    [heartbeat] 1584 evaluations, best 0.6552962, 242s
  eval 1593: d=0.6553234 diam=2.645751 glue=(3, 5, 5) [244s]
  eval 1607: d=0.6554385 diam=2.645751 glue=(3, 5, 5) [246s]
  eval 1616: d=0.6554707 diam=2.645751 glue=(3, 5, 5) [247s]
  eval 1623: d=0.6555381 diam=2.645751 glue=(3, 5, 5) [248s]
  eval 1631: d=0.6555383 diam=2.645751 glue=(3, 5, 5) [249s]
    [heartbeat] 1632 evaluations, best 0.6555383, 249s
  eval 1635: d=0.6555660 diam=2.645751 glue=(3, 5, 5) [250s]
  eval 1636: d=0.6556456 diam=2.645751 glue=(3, 5, 5) [250s]
  eval 1660: d=0.6557132 diam=2.645751 glue=(3, 5, 5) [253s]
  eval 1672: d=0.6558892 diam=2.645751 glue=(3, 5, 5) [255s]
    [heartbeat] 1680 evaluations, best 0.6558892, 256s
  eval 1684: d=0.6559172 diam=2.645751 glue=(3, 5, 5) [257s]
    [heartbeat] 1728 evaluations, best 0.6559172, 263s
  eval 1733: d=0.6559571 diam=2.645751 glue=(3, 5, 5) [263s]
  eval 1753: d=0.6559766 diam=2.645751 glue=(3, 5, 5) [266s]
  eval 1756: d=0.6560875 diam=2.645751 glue=(3, 5, 5) [267s]
  eval 1769: d=0.6561659 diam=2.645751 glue=(3, 5, 5) [268s]
    [heartbeat] 1776 evaluations, best 0.6561659, 269s
  eval 1788: d=0.6561825 diam=2.645751 glue=(3, 5, 5) [271s]
  eval 1795: d=0.6562285 diam=2.645751 glue=(3, 5, 5) [272s]
  eval 1805: d=0.6563011 diam=2.645751 glue=(3, 5, 5) [273s]
