[  11.5s] HCP      k=14: d=0.578355 (решётка 0.900965) split=[10, 4]
[  22.0s] HCP      k=15: d=0.578355 (решётка 1.026593) split=[11, 4]
[  33.8s] HCP      k=16: d=0.892607 (решётка 1.029728) split=[8, 8]
[  47.5s] HCP      k=17: d=0.892607 (решётка 1.064844) split=[9, 8]
[  64.7s] HCP      k=18: d=0.892607 (решётка 1.115838) split=[10, 8]
[  86.6s] HCP      k=19: d=0.892607 (решётка 1.139320) split=[11, 8]
[ 115.1s] HCP      k=20: d=0.892607 (решётка 1.171811) split=[10, 10]
[ 139.8s] HCP      k=21: d=0.892607 (решётка 1.262783) split=[11, 10]
[ 145.3s] diamond  k=14: d=0.651920 (решётка 0.900965) split=[8, 6]
[ 150.0s] diamond  k=15: d=0.651920 (решётка 1.026593) split=[9, 6]
[ 160.3s] diamond  k=16: d=0.894427 (решётка 1.029728) split=[8, 8]
[ 166.0s] diamond  k=17: d=0.651920 (решётка 1.064844) split=[11, 6]
[ 178.4s] diamond  k=18: d=0.651920 (решётка 1.115838) split=[12, 6]
[ 190.8s] diamond  k=19: d=0.651920 (решётка 1.139320) split=[13, 6]
[ 205.3s] diamond  k=20: d=0.894427 (решётка 1.171811) split=[12, 8]
[ 222.1s] diamond  k=21: d=0.894427 (решётка 1.262783) split=[13, 8]
[ 227.0s] NaCl     k=14: d=0.577350 (решётка 0.900965) split=[10, 4]
[ 233.3s] NaCl     k=15: d=0.577350 (решётка 1.026593) split=[11, 4]
[ 239.4s] NaCl     k=16: d=0.816497 (решётка 1.029728) split=[8, 8]
[ 247.8s] NaCl     k=17: d=0.577350 (решётка 1.064844) split=[9, 8]
[ 261.4s] NaCl     k=18: d=0.577350 (решётка 1.115838) split=[10, 8]
[ 272.3s] NaCl     k=19: d=0.577350 (решётка 1.139320) split=[11, 8]
[ 287.1s] NaCl     k=20: d=0.816497 (решётка 1.171811) split=[12, 8]
[ 304.8s] NaCl     k=21: d=0.816497 (решётка 1.262783) split=[13, 8]
[ 313.1s] AAB_hex  k=14: d=0.713373 (решётка 0.900965) split=[8, 6]
[ 324.2s] AAB_hex  k=15: d=0.713373 (решётка 1.026593) split=[9, 6]
[ 333.5s] AAB_hex  k=16: d=0.919087 (решётка 1.029728) split=[8, 8]
[ 347.2s] AAB_hex  k=17: d=0.919087 (решётка 1.064844) split=[9, 8]
[ 363.3s] AAB_hex  k=18: d=0.919087 (решётка 1.115838) split=[10, 8]
[ 379.0s] AAB_hex  k=19: d=0.919087 (решётка 1.139320) split=[11, 8]
[ 397.4s] AAB_hex  k=20: d=0.919087 (решётка 1.171811) split=[12, 8]
[ 418.9s] AAB_hex  k=21: d=0.919087 (решётка 1.262783) split=[13, 8]
готово за 419s
